question,answer
"t0:0.0, p0:18.87, v0:0.11.3.0? ",18.9
"t0:0.0, p0:84.43, v0:-0.69.2.0? ",82.95
"t0:0.0, p0:60.35, v0:0.9.2.0? ",62.05
"t0:0.0, p0:66.85, v0:-0.87.4.0? ",62.77
"t0:0.0, p0:64.5, v0:0.13.2.0? ",64.66
"t0:0.0, p0:1.0, v0:-0.05.5.0? ",0.0
"t0:0.0, p0:84.97, v0:-0.06.1.0? ",84.91
"t0:0.0, p0:44.45, v0:-0.58.5.0? ",40.55
"t0:0.0, p0:62.64, v0:-0.33.2.0? ",61.88
"t0:0.0, p0:30.32, v0:-0.03.1.0? ",30.29
"t0:0.0, p0:23.48, v0:0.57.3.0? ",24.89
"t0:0.0, p0:52.99, v0:-0.02.4.0? ",52.31
"t0:0.0, p0:94.36, v0:-0.61.4.0? ",91.32
"t0:0.0, p0:20.44, v0:0.27.5.0? ",20.79
"t0:0.0, p0:22.25, v0:0.98.3.0? ",24.89
"t0:0.0, p0:93.35, v0:-0.67.4.0? ",90.07
"t0:0.0, p0:67.38, v0:-0.55.3.0? ",65.43
"t0:0.0, p0:45.55, v0:-0.65.4.0? ",42.35
"t0:0.0, p0:1.59, v0:-0.43.2.0? ",0.63
"t0:0.0, p0:17.81, v0:0.56.1.0? ",18.37
"t0:0.0, p0:95.25, v0:0.93.3.0? ",97.74
"t0:0.0, p0:8.87, v0:-0.6.2.0? ",7.57
"t0:0.0, p0:25.03, v0:0.58.4.0? ",26.75
"t0:0.0, p0:75.27, v0:-0.84.6.0? ",68.73
"t0:0.0, p0:79.45, v0:-0.42.6.0? ",75.43
"t0:0.0, p0:73.56, v0:-0.47.4.0? ",71.08
"t0:0.0, p0:92.18, v0:0.64.6.0? ",94.52
"t0:0.0, p0:88.52, v0:-0.81.3.0? ",85.79
"t0:0.0, p0:35.51, v0:-0.64.4.0? ",32.35
"t0:0.0, p0:19.28, v0:-0.69.2.0? ",17.8
"t0:0.0, p0:72.19, v0:0.27.6.0? ",72.31
"t0:0.0, p0:95.52, v0:-0.7.6.0? ",89.82
"t0:0.0, p0:22.95, v0:-0.04.3.0? ",22.53
"t0:0.0, p0:10.91, v0:0.15.6.0? ",10.31
"t0:0.0, p0:88.4, v0:0.74.1.0? ",89.14
"t0:0.0, p0:38.84, v0:-0.83.5.0? ",33.69
"t0:0.0, p0:79.42, v0:-0.21.2.0? ",78.9
"t0:0.0, p0:10.62, v0:0.23.6.0? ",10.5
"t0:0.0, p0:2.97, v0:0.08.4.0? ",2.69
"t0:0.0, p0:59.94, v0:-0.64.3.0? ",57.72
"t0:0.0, p0:41.95, v0:0.39.1.0? ",42.34
"t0:0.0, p0:26.93, v0:0.91.2.0? ",28.65
"t0:0.0, p0:80.67, v0:0.6.6.0? ",82.77
"t0:0.0, p0:18.87, v0:0.03.2.0? ",18.83
"t0:0.0, p0:79.41, v0:-0.23.1.0? ",79.18
"t0:0.0, p0:7.43, v0:-0.94.3.0? ",4.31
"t0:0.0, p0:36.57, v0:0.82.6.0? ",39.99
"t0:0.0, p0:34.42, v0:0.04.4.0? ",33.98
"t0:0.0, p0:86.54, v0:-0.48.5.0? ",83.14
"t0:0.0, p0:14.43, v0:0.07.3.0? ",14.34
"t0:0.0, p0:67.92, v0:0.18.2.0? ",68.18
"t0:0.0, p0:9.64, v0:0.69.3.0? ",11.41
"t0:0.0, p0:6.96, v0:-0.07.6.0? ",5.04
"t0:0.0, p0:84.95, v0:0.37.3.0? ",85.76
"t0:0.0, p0:15.12, v0:0.61.3.0? ",16.65
"t0:0.0, p0:81.24, v0:-0.87.5.0? ",75.89
"t0:0.0, p0:54.73, v0:-0.55.1.0? ",54.18
"t0:0.0, p0:72.95, v0:0.91.4.0? ",75.99
"t0:0.0, p0:50.95, v0:0.28.5.0? ",51.35
"t0:0.0, p0:91.42, v0:-0.32.5.0? ",88.82
"t0:0.0, p0:35.04, v0:-0.3.2.0? ",34.34
"t0:0.0, p0:98.08, v0:-0.77.6.0? ",91.96
"t0:0.0, p0:16.42, v0:-0.56.5.0? ",12.62
"t0:0.0, p0:11.36, v0:0.3.5.0? ",11.86
"t0:0.0, p0:77.16, v0:-0.99.6.0? ",69.72
"t0:0.0, p0:42.07, v0:-0.58.4.0? ",39.15
"t0:0.0, p0:18.63, v0:0.18.5.0? ",18.53
"t0:0.0, p0:72.27, v0:-0.91.2.0? ",70.35
"t0:0.0, p0:73.27, v0:0.88.4.0? ",76.19
