question,answer
"An object is dropped at time 0.0 with initial position 71.04, 22.74 and initial velocity 0.0, 0.65.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 6.0?",25.14
"An object is dropped at time 0.0 with initial position 79.14, 1.45 and initial velocity 0.0, -0.72.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",0.0
"An object is dropped at time 0.0 with initial position 64.02, 19.46 and initial velocity 0.0, 0.79.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",20.94
"An object is dropped at time 0.0 with initial position 90.55, 88.24 and initial velocity 0.0, -0.8.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 6.0?",81.94
"An object is dropped at time 0.0 with initial position 85.43, 51.67 and initial velocity 0.0, -0.86.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 5.0?",46.37
"An object is dropped at time 0.0 with initial position 97.55, 11.62 and initial velocity 0.0, -0.18.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 6.0?",9.04
"An object is dropped at time 0.0 with initial position 33.84, 33.3 and initial velocity 0.0, 0.39.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",33.98
"An object is dropped at time 0.0 with initial position 75.49, 76.09 and initial velocity 0.0, 0.61.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 5.0?",78.14
"An object is dropped at time 0.0 with initial position 18.93, 84.16 and initial velocity 0.0, 0.89.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 6.0?",88.0
"An object is dropped at time 0.0 with initial position 42.9, 76.71 and initial velocity 0.0, 0.72.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 4.0?",78.99
"An object is dropped at time 0.0 with initial position 0.24, 12.01 and initial velocity 0.0, 0.74.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 3.0?",13.93
"An object is dropped at time 0.0 with initial position 6.19, 32.31 and initial velocity 0.0, -0.51.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 4.0?",29.67
"An object is dropped at time 0.0 with initial position 40.46, 92.66 and initial velocity 0.0, 0.98.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",94.52
"An object is dropped at time 0.0 with initial position 32.59, 67.28 and initial velocity 0.0, 0.98.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 5.0?",71.18
"An object is dropped at time 0.0 with initial position 96.74, 12.16 and initial velocity 0.0, -0.09.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 4.0?",11.2
"An object is dropped at time 0.0 with initial position 84.29, 43.66 and initial velocity 0.0, -0.03.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 5.0?",42.51
"An object is dropped at time 0.0 with initial position 29.4, 50.61 and initial velocity 0.0, 0.34.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",51.19
"An object is dropped at time 0.0 with initial position 72.04, 48.8 and initial velocity 0.0, -0.88.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",46.94
"An object is dropped at time 0.0 with initial position 14.35, 82.02 and initial velocity 0.0, -0.76.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 6.0?",75.96
"An object is dropped at time 0.0 with initial position 4.61, 4.45 and initial velocity 0.0, 0.15.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",4.65
"An object is dropped at time 0.0 with initial position 8.85, 59.12 and initial velocity 0.0, 0.69.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 3.0?",60.89
"An object is dropped at time 0.0 with initial position 57.55, 38.59 and initial velocity 0.0, 0.04.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 4.0?",38.15
"An object is dropped at time 0.0 with initial position 59.93, 50.74 and initial velocity 0.0, 0.01.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 3.0?",50.47
"An object is dropped at time 0.0 with initial position 87.37, 7.52 and initial velocity 0.0, -0.47.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 4.0?",5.04
"An object is dropped at time 0.0 with initial position 6.01, 9.1 and initial velocity 0.0, -0.01.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 1.0?",9.09
"An object is dropped at time 0.0 with initial position 80.89, 35.09 and initial velocity 0.0, 0.9.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 4.0?",38.09
"An object is dropped at time 0.0 with initial position 9.87, 11.97 and initial velocity 0.0, 0.01.Acceleration under Gravity is -0.1. What is the position of the vertical object at time 4.0?",11.41
