question,answer
Gravity is 10. A rigid object is fixed at its center at x=400.0 and y=300.0) with angle -38.83 degrees. and width 10.00. Ball dropped from x=400 and y=575.0 with radius 10 and elasticity 0.5. At what x position does the ball hit the ground?,811.69
Gravity is 10. A rigid object is fixed at its center at x=400.0 and y=300.0) with angle 10.87 degrees. and width 10.00. Ball dropped from x=400 and y=575.0 with radius 10 and elasticity 0.5. At what x position does the ball hit the ground?,9.93
Gravity is 10. A rigid object is fixed at its center at x=400.0 and y=300.0) with angle 35.16 degrees. and width 10.00. Ball dropped from x=400 and y=575.0 with radius 10 and elasticity 0.5. At what x position does the ball hit the ground?,42.58
Gravity is 10. A rigid object is fixed at its center at x=400.0 and y=300.0) with angle 26.71 degrees. and width 10.00. Ball dropped from x=400 and y=575.0 with radius 10 and elasticity 0.5. At what x position does the ball hit the ground?,7.36
Gravity is 10. A rigid object is fixed at its center at x=400.0 and y=300.0) with angle -19.69 degrees. and width 10.00. Ball dropped from x=400 and y=575.0 with radius 10 and elasticity 0.5. At what x position does the ball hit the ground?,588.82
Gravity is 10. A rigid object is fixed at its center at x=400.0 and y=300.0) with angle -9.73 degrees. and width 10.00. Ball dropped from x=400 and y=575.0 with radius 10 and elasticity 0.5. At what x position does the ball hit the ground?,363.03
Gravity is 10. A rigid object is fixed at its center at x=400.0 and y=300.0) with angle -20.47 degrees. and width 10.00. Ball dropped from x=400 and y=575.0 with radius 10 and elasticity 0.5. At what x position does the ball hit the ground?,604.83
Gravity is 10. A rigid object is fixed at its center at x=400.0 and y=300.0) with angle -25.95 degrees. and width 10.00. Ball dropped from x=400 and y=575.0 with radius 10 and elasticity 0.5. At what x position does the ball hit the ground?,703.27
Gravity is 10. A rigid object is fixed at its center at x=400.0 and y=300.0) with angle -3.57 degrees. and width 10.00. Ball dropped from x=400 and y=575.0 with radius 10 and elasticity 0.5. At what x position does the ball hit the ground?,224.45
Gravity is 10. A rigid object is fixed at its center at x=400.0 and y=300.0) with angle 42.01 degrees. and width 10.00. Ball dropped from x=400 and y=575.0 with radius 10 and elasticity 0.5. At what x position does the ball hit the ground?,63.61
Gravity is 10. A rigid object is fixed at its center at x=400.0 and y=300.0) with angle 11.67 degrees. and width 10.00. Ball dropped from x=400 and y=575.0 with radius 10 and elasticity 0.5. At what x position does the ball hit the ground?,4.17
Gravity is 10. A rigid object is fixed at its center at x=400.0 and y=300.0) with angle 3.03 degrees. and width 10.00. Ball dropped from x=400 and y=575.0 with radius 10 and elasticity 0.5. At what x position does the ball hit the ground?,101.45
Gravity is 10. A rigid object is fixed at its center at x=400.0 and y=300.0) with angle -35.68 degrees. and width 10.00. Ball dropped from x=400 and y=575.0 with radius 10 and elasticity 0.5. At what x position does the ball hit the ground?,804.15
