question,answer
"An object is dropped at time 0.0 with initial position 82.94, 48.72 and initial velocity 0.0, 0.82. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",50.26
"An object is dropped at time 0.0 with initial position 49.58, 97.29 and initial velocity 0.0, -0.11. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",96.97
"An object is dropped at time 0.0 with initial position 37.11, 7.95 and initial velocity 0.0, 0.58. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",9.01
"An object is dropped at time 0.0 with initial position 26.76, 28.58 and initial velocity 0.0, -0.74. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",27.0
"An object is dropped at time 0.0 with initial position 5.59, 18.17 and initial velocity 0.0, 1.0. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",20.07
"An object is dropped at time 0.0 with initial position 92.86, 49.84 and initial velocity 0.0, -0.09. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",49.56
"An object is dropped at time 0.0 with initial position 29.14, 4.09 and initial velocity 0.0, -0.97. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",2.05
"An object is dropped at time 0.0 with initial position 2.15, 69.68 and initial velocity 0.0, 0.3. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",70.18
"An object is dropped at time 0.0 with initial position 63.28, 15.73 and initial velocity 0.0, -0.73. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",14.17
"An object is dropped at time 0.0 with initial position 98.59, 93.8 and initial velocity 0.0, 0.29. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",94.28
"An object is dropped at time 0.0 with initial position 89.43, 95.67 and initial velocity 0.0, -0.98. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",93.61
"An object is dropped at time 0.0 with initial position 34.42, 14.97 and initial velocity 0.0, -0.66. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",13.55
"An object is dropped at time 0.0 with initial position 23.79, 64.52 and initial velocity 0.0, 0.32. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",65.06
"An object is dropped at time 0.0 with initial position 85.05, 22.45 and initial velocity 0.0, 0.0. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",22.35
"An object is dropped at time 0.0 with initial position 70.99, 33.68 and initial velocity 0.0, -0.23. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",33.12
"An object is dropped at time 0.0 with initial position 29.05, 81.12 and initial velocity 0.0, 0.53. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",82.08
"An object is dropped at time 0.0 with initial position 77.22, 47.55 and initial velocity 0.0, 0.05. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",47.55
"An object is dropped at time 0.0 with initial position 8.08, 87.73 and initial velocity 0.0, 0.22. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",88.07
"An object is dropped at time 0.0 with initial position 71.42, 49.62 and initial velocity 0.0, 0.14. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",49.8
"An object is dropped at time 0.0 with initial position 2.61, 73.43 and initial velocity 0.0, -0.16. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",73.01
"An object is dropped at time 0.0 with initial position 53.8, 22.33 and initial velocity 0.0, -0.46. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",21.31
"An object is dropped at time 0.0 with initial position 62.38, 30.68 and initial velocity 0.0, 0.14. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",30.86
"An object is dropped at time 0.0 with initial position 6.58, 6.8 and initial velocity 0.0, -0.05. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",6.6
"An object is dropped at time 0.0 with initial position 7.79, 24.58 and initial velocity 0.0, 0.58. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",25.64
"An object is dropped at time 0.0 with initial position 4.17, 36.38 and initial velocity 0.0, -0.05. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",36.18
"An object is dropped at time 0.0 with initial position 22.53, 66.72 and initial velocity 0.0, -0.28. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",66.06
"An object is dropped at time 0.0 with initial position 38.56, 18.5 and initial velocity 0.0, 0.61. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",19.62
"An object is dropped at time 0.0 with initial position 21.42, 47.66 and initial velocity 0.0, -0.12. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",47.32
"An object is dropped at time 0.0 with initial position 86.77, 74.51 and initial velocity 0.0, 0.14. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",74.69
"An object is dropped at time 0.0 with initial position 4.21, 25.71 and initial velocity 0.0, 0.91. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",27.43
"An object is dropped at time 0.0 with initial position 24.36, 6.01 and initial velocity 0.0, 0.5. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",6.91
"An object is dropped at time 0.0 with initial position 17.89, 17.01 and initial velocity 0.0, 0.91. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",18.73
"An object is dropped at time 0.0 with initial position 2.37, 83.88 and initial velocity 0.0, -0.94. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",81.9
"An object is dropped at time 0.0 with initial position 18.86, 71.7 and initial velocity 0.0, 0.13. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",71.86
"An object is dropped at time 0.0 with initial position 17.82, 98.93 and initial velocity 0.0, -0.98. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",96.87
"An object is dropped at time 0.0 with initial position 63.6, 63.63 and initial velocity 0.0, -0.23. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",63.07
"An object is dropped at time 0.0 with initial position 82.92, 84.28 and initial velocity 0.0, 0.3. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",84.78
"An object is dropped at time 0.0 with initial position 52.64, 87.73 and initial velocity 0.0, -0.77. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",86.09
"An object is dropped at time 0.0 with initial position 64.88, 49.0 and initial velocity 0.0, -0.19. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",48.52
"An object is dropped at time 0.0 with initial position 34.48, 42.11 and initial velocity 0.0, -0.88. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",40.25
"An object is dropped at time 0.0 with initial position 97.8, 13.83 and initial velocity 0.0, -0.24. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",13.25
"An object is dropped at time 0.0 with initial position 59.44, 41.2 and initial velocity 0.0, -0.16. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",40.78
"An object is dropped at time 0.0 with initial position 89.32, 87.35 and initial velocity 0.0, -0.06. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",87.13
"An object is dropped at time 0.0 with initial position 80.14, 82.71 and initial velocity 0.0, 0.22. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",83.05
"An object is dropped at time 0.0 with initial position 50.27, 35.42 and initial velocity 0.0, 0.15. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",35.62
"An object is dropped at time 0.0 with initial position 0.68, 9.31 and initial velocity 0.0, 0.63. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",10.47
"An object is dropped at time 0.0 with initial position 7.77, 52.55 and initial velocity 0.0, -0.4. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",51.65
"An object is dropped at time 0.0 with initial position 63.21, 15.05 and initial velocity 0.0, 0.16. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",15.27
"An object is dropped at time 0.0 with initial position 91.2, 10.89 and initial velocity 0.0, 0.25. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",11.29
"An object is dropped at time 0.0 with initial position 43.58, 96.27 and initial velocity 0.0, 0.78. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",97.73
"An object is dropped at time 0.0 with initial position 40.53, 69.69 and initial velocity 0.0, 0.44. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",70.47
"An object is dropped at time 0.0 with initial position 19.34, 10.05 and initial velocity 0.0, -0.19. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",9.57
"An object is dropped at time 0.0 with initial position 31.62, 31.29 and initial velocity 0.0, -0.63. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",29.93
"An object is dropped at time 0.0 with initial position 90.14, 83.72 and initial velocity 0.0, -0.18. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",83.26
"An object is dropped at time 0.0 with initial position 58.81, 46.64 and initial velocity 0.0, -0.54. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",45.46
"An object is dropped at time 0.0 with initial position 14.09, 64.56 and initial velocity 0.0, -0.45. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",63.56
"An object is dropped at time 0.0 with initial position 10.15, 56.42 and initial velocity 0.0, -0.8. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",54.72
"An object is dropped at time 0.0 with initial position 42.49, 9.86 and initial velocity 0.0, -0.17. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",9.42
"An object is dropped at time 0.0 with initial position 95.92, 85.86 and initial velocity 0.0, -0.26. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",85.24
"An object is dropped at time 0.0 with initial position 71.78, 2.62 and initial velocity 0.0, 0.24. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",3.0
"An object is dropped at time 0.0 with initial position 93.26, 22.64 and initial velocity 0.0, 0.28. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",23.1
"An object is dropped at time 0.0 with initial position 61.06, 18.25 and initial velocity 0.0, -0.89. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",16.37
"An object is dropped at time 0.0 with initial position 11.29, 54.17 and initial velocity 0.0, 0.41. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",54.89
"An object is dropped at time 0.0 with initial position 84.07, 66.02 and initial velocity 0.0, -0.95. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",64.02
"An object is dropped at time 0.0 with initial position 26.88, 8.9 and initial velocity 0.0, -0.91. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",6.98
"An object is dropped at time 0.0 with initial position 27.05, 67.38 and initial velocity 0.0, -0.41. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",66.46
"An object is dropped at time 0.0 with initial position 72.39, 88.38 and initial velocity 0.0, -0.66. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",86.96
"An object is dropped at time 0.0 with initial position 54.78, 54.93 and initial velocity 0.0, -0.87. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",53.09
"An object is dropped at time 0.0 with initial position 3.68, 1.78 and initial velocity 0.0, 0.69. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",3.06
"An object is dropped at time 0.0 with initial position 62.21, 80.72 and initial velocity 0.0, -0.37. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",79.88
"An object is dropped at time 0.0 with initial position 4.43, 69.11 and initial velocity 0.0, -0.89. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",67.23
"An object is dropped at time 0.0 with initial position 92.16, 51.33 and initial velocity 0.0, 0.59. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",52.41
"An object is dropped at time 0.0 with initial position 94.87, 51.82 and initial velocity 0.0, -0.27. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",51.18
"An object is dropped at time 0.0 with initial position 32.14, 69.53 and initial velocity 0.0, -0.33. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",68.77
"An object is dropped at time 0.0 with initial position 26.6, 76.39 and initial velocity 0.0, -0.03. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",76.23
"An object is dropped at time 0.0 with initial position 30.21, 31.1 and initial velocity 0.0, -0.09. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",30.82
"An object is dropped at time 0.0 with initial position 39.25, 86.08 and initial velocity 0.0, -0.89. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",84.2
"An object is dropped at time 0.0 with initial position 60.17, 23.38 and initial velocity 0.0, 0.08. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",23.44
"An object is dropped at time 0.0 with initial position 60.28, 48.14 and initial velocity 0.0, -0.07. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",47.9
"An object is dropped at time 0.0 with initial position 44.25, 4.63 and initial velocity 0.0, 0.37. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",5.27
"An object is dropped at time 0.0 with initial position 84.13, 58.18 and initial velocity 0.0, 0.59. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",59.26
"An object is dropped at time 0.0 with initial position 21.26, 19.32 and initial velocity 0.0, 0.06. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",19.34
"An object is dropped at time 0.0 with initial position 46.55, 73.44 and initial velocity 0.0, -0.63. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",72.08
"An object is dropped at time 0.0 with initial position 70.94, 23.63 and initial velocity 0.0, -0.9. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",21.73
"An object is dropped at time 0.0 with initial position 65.3, 74.12 and initial velocity 0.0, 0.72. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",75.46
"An object is dropped at time 0.0 with initial position 28.09, 28.11 and initial velocity 0.0, 0.88. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",29.77
"An object is dropped at time 0.0 with initial position 94.68, 67.34 and initial velocity 0.0, 0.67. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",68.58
"An object is dropped at time 0.0 with initial position 25.9, 74.72 and initial velocity 0.0, 0.01. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",74.64
"An object is dropped at time 0.0 with initial position 88.99, 58.67 and initial velocity 0.0, 0.45. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",59.47
"An object is dropped at time 0.0 with initial position 83.7, 47.39 and initial velocity 0.0, 0.81. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",48.91
"An object is dropped at time 0.0 with initial position 9.57, 16.61 and initial velocity 0.0, -0.08. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",16.35
"An object is dropped at time 0.0 with initial position 44.09, 67.1 and initial velocity 0.0, -0.45. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",66.1
"An object is dropped at time 0.0 with initial position 52.27, 91.56 and initial velocity 0.0, 0.91. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",93.28
"An object is dropped at time 0.0 with initial position 33.36, 10.83 and initial velocity 0.0, 0.48. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",11.69
"An object is dropped at time 0.0 with initial position 47.91, 26.84 and initial velocity 0.0, 0.44. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",27.62
"An object is dropped at time 0.0 with initial position 31.42, 28.14 and initial velocity 0.0, 0.13. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",28.3
"An object is dropped at time 0.0 with initial position 32.21, 53.75 and initial velocity 0.0, 0.23. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",54.11
"An object is dropped at time 0.0 with initial position 80.4, 87.13 and initial velocity 0.0, -0.43. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",86.17
"An object is dropped at time 0.0 with initial position 44.17, 58.08 and initial velocity 0.0, 0.77. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",59.52
"An object is dropped at time 0.0 with initial position 81.71, 89.47 and initial velocity 0.0, -1.0. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",87.37
"An object is dropped at time 0.0 with initial position 2.95, 20.14 and initial velocity 0.0, 0.52. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",21.08
"An object is dropped at time 0.0 with initial position 77.98, 85.58 and initial velocity 0.0, 0.94. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",87.36
"An object is dropped at time 0.0 with initial position 78.14, 92.49 and initial velocity 0.0, 0.93. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",94.25
"An object is dropped at time 0.0 with initial position 3.6, 98.09 and initial velocity 0.0, 0.34. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",98.67
"An object is dropped at time 0.0 with initial position 96.06, 26.26 and initial velocity 0.0, -0.02. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",26.12
"An object is dropped at time 0.0 with initial position 36.36, 30.64 and initial velocity 0.0, -0.26. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",30.02
"An object is dropped at time 0.0 with initial position 76.03, 80.02 and initial velocity 0.0, -0.15. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",79.62
"An object is dropped at time 0.0 with initial position 92.89, 25.24 and initial velocity 0.0, -0.78. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",23.58
"An object is dropped at time 0.0 with initial position 11.44, 99.01 and initial velocity 0.0, -0.05. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",98.81
"An object is dropped at time 0.0 with initial position 68.4, 53.99 and initial velocity 0.0, 0.41. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",54.71
"An object is dropped at time 0.0 with initial position 73.67, 4.44 and initial velocity 0.0, -0.77. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",2.8
"An object is dropped at time 0.0 with initial position 12.42, 99.5 and initial velocity 0.0, 0.2. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",99.8
"An object is dropped at time 0.0 with initial position 91.5, 15.04 and initial velocity 0.0, -0.07. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",14.8
"An object is dropped at time 0.0 with initial position 83.06, 15.22 and initial velocity 0.0, -0.33. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",14.46
"An object is dropped at time 0.0 with initial position 89.38, 20.35 and initial velocity 0.0, 0.06. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",20.37
"An object is dropped at time 0.0 with initial position 64.69, 56.98 and initial velocity 0.0, -0.75. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",55.38
"An object is dropped at time 0.0 with initial position 41.16, 70.94 and initial velocity 0.0, 0.16. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",71.16
"An object is dropped at time 0.0 with initial position 92.42, 72.75 and initial velocity 0.0, -0.47. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",71.71
"An object is dropped at time 0.0 with initial position 22.11, 63.79 and initial velocity 0.0, -0.1. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",63.49
"An object is dropped at time 0.0 with initial position 64.24, 30.15 and initial velocity 0.0, 0.81. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",31.67
"An object is dropped at time 0.0 with initial position 3.61, 88.29 and initial velocity 0.0, -0.82. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",86.55
"An object is dropped at time 0.0 with initial position 16.23, 19.33 and initial velocity 0.0, -0.95. Acceleration under Gravity is -0.1. What is the position of the vertical object at time 2.0?",17.33
