question,answer
"t0:0.0, p0:74.35, v0:0.26.2.0? ",74.77
"t0:0.0, p0:37.93, v0:-0.02.2.0? ",37.79
"t0:0.0, p0:88.0, v0:0.65.2.0? ",89.2
"t0:0.0, p0:40.71, v0:0.91.2.0? ",42.43
"t0:0.0, p0:50.19, v0:-0.6.2.0? ",48.89
"t0:0.0, p0:41.51, v0:0.35.2.0? ",42.11
"t0:0.0, p0:34.85, v0:-0.23.2.0? ",34.29
"t0:0.0, p0:64.35, v0:0.87.2.0? ",65.99
"t0:0.0, p0:55.76, v0:-0.33.2.0? ",55.0
"t0:0.0, p0:24.64, v0:-0.13.2.0? ",24.28
"t0:0.0, p0:91.19, v0:0.46.2.0? ",92.01
"t0:0.0, p0:19.95, v0:0.26.2.0? ",20.37
"t0:0.0, p0:8.56, v0:-0.18.2.0? ",8.1
"t0:0.0, p0:45.54, v0:0.21.2.0? ",45.86
"t0:0.0, p0:24.79, v0:0.24.2.0? ",25.17
"t0:0.0, p0:3.67, v0:-0.03.2.0? ",3.51
"t0:0.0, p0:43.95, v0:-0.72.2.0? ",42.41
"t0:0.0, p0:86.89, v0:0.06.2.0? ",86.91
"t0:0.0, p0:72.3, v0:0.05.2.0? ",72.3
"t0:0.0, p0:28.03, v0:0.23.2.0? ",28.39
"t0:0.0, p0:29.61, v0:0.38.2.0? ",30.27
"t0:0.0, p0:7.55, v0:0.31.2.0? ",8.07
"t0:0.0, p0:45.28, v0:0.89.2.0? ",46.96
"t0:0.0, p0:92.11, v0:0.97.2.0? ",93.95
"t0:0.0, p0:89.9, v0:-0.24.2.0? ",89.32
"t0:0.0, p0:22.42, v0:0.8.2.0? ",23.92
"t0:0.0, p0:66.59, v0:0.69.2.0? ",67.87
"t0:0.0, p0:8.31, v0:-0.36.2.0? ",7.49
"t0:0.0, p0:2.3, v0:-0.88.2.0? ",0.44
"t0:0.0, p0:96.41, v0:0.28.2.0? ",96.87
"t0:0.0, p0:85.39, v0:-0.42.2.0? ",84.45
"t0:0.0, p0:85.18, v0:0.27.2.0? ",85.62
"t0:0.0, p0:87.37, v0:-0.85.2.0? ",85.57
"t0:0.0, p0:84.62, v0:0.24.2.0? ",85.0
"t0:0.0, p0:0.71, v0:-0.21.2.0? ",0.19
"t0:0.0, p0:92.04, v0:-0.56.2.0? ",90.82
"t0:0.0, p0:75.45, v0:-0.09.2.0? ",75.17
"t0:0.0, p0:24.18, v0:-0.14.2.0? ",23.8
"t0:0.0, p0:98.36, v0:0.13.2.0? ",98.52
"t0:0.0, p0:17.06, v0:-0.02.2.0? ",16.92
"t0:0.0, p0:13.58, v0:0.12.2.0? ",13.72
"t0:0.0, p0:10.7, v0:-0.22.2.0? ",10.16
"t0:0.0, p0:20.85, v0:0.05.2.0? ",20.85
"t0:0.0, p0:44.64, v0:0.59.2.0? ",45.72
"t0:0.0, p0:10.14, v0:0.48.2.0? ",11.0
"t0:0.0, p0:45.39, v0:-0.32.2.0? ",44.65
"t0:0.0, p0:23.2, v0:0.09.2.0? ",23.28
"t0:0.0, p0:21.33, v0:-0.06.2.0? ",21.11
"t0:0.0, p0:10.03, v0:-0.19.2.0? ",9.55
"t0:0.0, p0:94.29, v0:0.51.2.0? ",95.21
"t0:0.0, p0:9.1, v0:0.18.2.0? ",9.36
"t0:0.0, p0:37.76, v0:0.63.2.0? ",38.92
"t0:0.0, p0:0.37, v0:0.04.2.0? ",0.35
"t0:0.0, p0:2.85, v0:-0.31.2.0? ",2.13
"t0:0.0, p0:41.92, v0:-0.66.2.0? ",40.5
"t0:0.0, p0:19.33, v0:-0.19.2.0? ",18.85
"t0:0.0, p0:19.55, v0:-0.6.2.0? ",18.25
"t0:0.0, p0:58.0, v0:0.77.2.0? ",59.44
"t0:0.0, p0:35.16, v0:-0.82.2.0? ",33.42
"t0:0.0, p0:70.2, v0:-0.9.2.0? ",68.3
"t0:0.0, p0:91.35, v0:-0.07.2.0? ",91.11
"t0:0.0, p0:87.58, v0:0.28.2.0? ",88.04
"t0:0.0, p0:18.84, v0:-0.91.2.0? ",16.92
"t0:0.0, p0:43.01, v0:-0.71.2.0? ",41.49
"t0:0.0, p0:37.18, v0:-0.99.2.0? ",35.1
"t0:0.0, p0:50.18, v0:0.94.2.0? ",51.96
"t0:0.0, p0:73.54, v0:0.88.2.0? ",75.2
"t0:0.0, p0:88.72, v0:0.91.2.0? ",90.44
"t0:0.0, p0:79.9, v0:0.29.2.0? ",80.38
"t0:0.0, p0:52.32, v0:-0.85.2.0? ",50.52
"t0:0.0, p0:77.96, v0:-0.87.2.0? ",76.12
"t0:0.0, p0:15.05, v0:0.16.2.0? ",15.27
"t0:0.0, p0:9.66, v0:-0.77.2.0? ",8.02
"t0:0.0, p0:27.82, v0:-0.45.2.0? ",26.82
"t0:0.0, p0:25.01, v0:0.65.2.0? ",26.21
"t0:0.0, p0:34.45, v0:-0.74.2.0? ",32.87
"t0:0.0, p0:24.1, v0:-0.97.2.0? ",22.06
"t0:0.0, p0:99.74, v0:-0.11.2.0? ",99.42
"t0:0.0, p0:78.81, v0:0.71.2.0? ",80.13
"t0:0.0, p0:72.5, v0:0.98.2.0? ",74.36
"t0:0.0, p0:65.29, v0:0.78.2.0? ",66.75
"t0:0.0, p0:57.22, v0:0.89.2.0? ",58.9
"t0:0.0, p0:89.16, v0:0.59.2.0? ",90.24
"t0:0.0, p0:96.57, v0:-0.94.2.0? ",94.59
"t0:0.0, p0:74.15, v0:-0.18.2.0? ",73.69
"t0:0.0, p0:9.36, v0:-0.79.2.0? ",7.68
"t0:0.0, p0:56.46, v0:-0.86.2.0? ",54.64
"t0:0.0, p0:21.85, v0:0.1.2.0? ",21.95
"t0:0.0, p0:59.39, v0:-0.15.2.0? ",58.99
"t0:0.0, p0:57.3, v0:-0.8.2.0? ",55.6
"t0:0.0, p0:75.06, v0:-0.44.2.0? ",74.08
"t0:0.0, p0:61.46, v0:-0.79.2.0? ",59.78
"t0:0.0, p0:73.47, v0:-0.03.2.0? ",73.31
"t0:0.0, p0:29.17, v0:0.38.2.0? ",29.83
"t0:0.0, p0:68.88, v0:-0.19.2.0? ",68.4
"t0:0.0, p0:78.22, v0:-0.42.2.0? ",77.28
"t0:0.0, p0:39.53, v0:-0.54.2.0? ",38.35
"t0:0.0, p0:74.81, v0:0.46.2.0? ",75.63
"t0:0.0, p0:56.91, v0:-0.28.2.0? ",56.25
"t0:0.0, p0:56.93, v0:-0.15.2.0? ",56.53
"t0:0.0, p0:79.43, v0:0.87.2.0? ",81.07
"t0:0.0, p0:54.99, v0:-0.02.2.0? ",54.85
"t0:0.0, p0:14.77, v0:0.41.2.0? ",15.49
"t0:0.0, p0:71.96, v0:0.62.2.0? ",73.1
"t0:0.0, p0:49.27, v0:0.32.2.0? ",49.81
"t0:0.0, p0:71.91, v0:0.06.2.0? ",71.93
"t0:0.0, p0:79.21, v0:-0.25.2.0? ",78.61
"t0:0.0, p0:60.13, v0:-0.78.2.0? ",58.47
"t0:0.0, p0:4.07, v0:0.69.2.0? ",5.35
"t0:0.0, p0:81.76, v0:0.04.2.0? ",81.74
"t0:0.0, p0:72.06, v0:0.09.2.0? ",72.14
"t0:0.0, p0:65.96, v0:0.85.2.0? ",67.56
"t0:0.0, p0:10.25, v0:-0.02.2.0? ",10.11
"t0:0.0, p0:42.9, v0:-0.71.2.0? ",41.38
"t0:0.0, p0:63.97, v0:-0.26.2.0? ",63.35
"t0:0.0, p0:50.27, v0:0.29.2.0? ",50.75
"t0:0.0, p0:15.43, v0:0.38.2.0? ",16.09
"t0:0.0, p0:63.46, v0:-0.94.2.0? ",61.48
"t0:0.0, p0:46.49, v0:-0.49.2.0? ",45.41
"t0:0.0, p0:42.53, v0:-0.44.2.0? ",41.55
"t0:0.0, p0:79.39, v0:0.28.2.0? ",79.85
"t0:0.0, p0:40.52, v0:0.23.2.0? ",40.88
"t0:0.0, p0:47.28, v0:-0.07.2.0? ",47.04
"t0:0.0, p0:54.33, v0:-0.09.2.0? ",54.05
"t0:0.0, p0:0.8, v0:-0.9.1.0? ",0.0
"t0:0.0, p0:94.5, v0:0.74.2.0? ",95.88
"t0:0.0, p0:17.42, v0:0.71.2.0? ",18.74
"t0:0.0, p0:12.12, v0:-0.29.2.0? ",11.44
"t0:0.0, p0:45.42, v0:0.21.2.0? ",45.74
"t0:0.0, p0:97.95, v0:-0.15.2.0? ",97.55
"t0:0.0, p0:99.73, v0:0.44.2.0? ",100.51
"t0:0.0, p0:3.79, v0:0.12.2.0? ",3.93
"t0:0.0, p0:26.33, v0:0.63.2.0? ",27.49
"t0:0.0, p0:71.02, v0:-0.93.2.0? ",69.06
"t0:0.0, p0:20.85, v0:0.56.2.0? ",21.87
"t0:0.0, p0:15.22, v0:0.28.2.0? ",15.68
"t0:0.0, p0:21.15, v0:-0.71.2.0? ",19.63
"t0:0.0, p0:23.0, v0:0.23.2.0? ",23.36
"t0:0.0, p0:58.92, v0:-0.62.2.0? ",57.58
"t0:0.0, p0:87.4, v0:0.59.2.0? ",88.48
"t0:0.0, p0:9.69, v0:0.87.2.0? ",11.33
"t0:0.0, p0:0.23, v0:0.06.2.0? ",0.25
"t0:0.0, p0:97.36, v0:0.31.2.0? ",97.88
"t0:0.0, p0:94.09, v0:0.56.2.0? ",95.11
"t0:0.0, p0:16.12, v0:-0.25.2.0? ",15.52
"t0:0.0, p0:67.21, v0:-0.99.2.0? ",65.13
"t0:0.0, p0:7.91, v0:0.38.2.0? ",8.57
"t0:0.0, p0:30.76, v0:0.06.2.0? ",30.78
"t0:0.0, p0:67.3, v0:-0.46.2.0? ",66.28
"t0:0.0, p0:35.75, v0:0.43.2.0? ",36.51
"t0:0.0, p0:79.2, v0:0.93.2.0? ",80.96
"t0:0.0, p0:26.11, v0:-0.43.2.0? ",25.15
"t0:0.0, p0:44.87, v0:0.86.2.0? ",46.49
"t0:0.0, p0:4.6, v0:-0.82.2.0? ",2.86
"t0:0.0, p0:27.02, v0:0.55.2.0? ",28.02
"t0:0.0, p0:53.38, v0:-0.36.2.0? ",52.56
"t0:0.0, p0:38.45, v0:-0.82.2.0? ",36.71
"t0:0.0, p0:84.91, v0:-0.02.2.0? ",84.77
"t0:0.0, p0:89.52, v0:0.97.2.0? ",91.36
"t0:0.0, p0:75.07, v0:-0.58.2.0? ",73.81
"t0:0.0, p0:72.75, v0:-0.47.2.0? ",71.71
"t0:0.0, p0:6.16, v0:-0.59.2.0? ",4.88
"t0:0.0, p0:18.91, v0:-0.73.2.0? ",17.35
"t0:0.0, p0:27.95, v0:0.63.2.0? ",29.11
"t0:0.0, p0:61.49, v0:0.6.2.0? ",62.59
"t0:0.0, p0:9.78, v0:0.5.2.0? ",10.68
"t0:0.0, p0:23.43, v0:0.3.2.0? ",23.93
"t0:0.0, p0:40.24, v0:-0.48.2.0? ",39.18
"t0:0.0, p0:60.22, v0:-0.93.2.0? ",58.26
